review_id,error_related,sentiment,review_date,review_text,rating,app_link
137,1,0,4/5/2015, Everytime my saved or scored coins get disappeared automatically even i do not use them for upgrades or purchases. Why? Imangi please release an update soon for this issue. ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
138,0,0,3/30/2015, Got as far as i could go on TempleRun Brave so..... Let's see how this one is on android. Update.. would give this 5 stars but for the fact the score REDUCES and you dont get to build your point unlike Temple Run Brave where you dont lose points unless you opt to gamble on extra shots. Otherwise I'd like it. ,Rate two stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
139,1,0,4/9/2015, Won't even pause if we get a phone call. No leader boards. No revolutionary new features. ,Rate three stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
140,1,0,4/10/2015," Neither the daily nor the weekly challenges are showing up. I can't level up 'cause all my three objectives are about the challenges. Fix it, please! ",Rate four stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
141,1,1,4/7/2015, Just loving all the new things about Temple Run 2. Only issue would be sometimes artifacts are repeated although I have collected them before. Just fix that thanks ,Rate five stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
142,1,0,4/5/2015," I really like your work but there is still some issues like game stuck sometime in the middle of the game play,  and also there is no place where we compare the scores and challenge other players or submit our high score. ",Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
143,0,1,4/3/2015," This game is a very fulfilling adventure! Love it! If you like getting additive games, and trying to beat your score and updating your character, this is for you! I &lt;3 this! I also love Imangi games, any of their games are awesome. ",Delete review.,https://play.google.com/store/apps/details?id=com.imangi.templerun2
144,0,1,4/6/2015, I have updated the latest version i have also collected all the artifacts still i didn't got the happy easter.... ,Rated  stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
145,1,0,4/5/2015," I love temple run 2 .... however, i have a problem with how often artifacts are spawned .... how can we get 2 objectives that requires us to collect twenty artifacts but none of them spawn !? been on the same two objectives for about 2 months now ... not happy ! i'll increase my rating when more artifacts are made available . ",Rated 2 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
146,1,0,3/29/2015, How am i going to ever going to level up past 9 if it never gives me the treasures  i need! Its even giving me 4th of july crap now and its just now easter. This needs to be fixed or I'm uninstalling... ,Rated 3 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
147,0,1,4/4/2015," Temple run is a great game. I love playing it because it is fun and does not drain my battery;however, it would could improve by when we upgrade a new runner we do not lose our coins. For example if u had 50000 coins and karma Lee was  worth 50000 coins it would just unlock her and let me know instead of me losing my coins. This game is much appreciated by me and it would be even more appreciated if there was an improvement thank you. ",Rated 4 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
148,1,1,4/8/2015, This game is fun! I love that you can collect artifacts!!! 2 things that need improvement: 1. The characters are way too expensive. (but at least they don't cost real money!) 2. It glitches sometimes. Fix these things and you've got yourself a 5 star game!!! ,Rated 2 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
149,0,1,4/6/2015, This game is ageless. I'm pretty sure I will still enjoy this game and kill 10 minutes on a random Tuesday afternoon in 2027. Seriously. ,Rated 1 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
150,0,1,3/30/2015," I love when the huge giant monkey ape thing runs after you in the beginning, because you have a first run! You can have a first chance to get away, because if you mess it up in the beginning your whole turn or run ids over. And I also love how you can buy characters with the coins you get from your run. As you can see I love Temple Run and anyone that like to have a challenge or fun I recommend this game to you. ",Rated 2 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
151,1,0,4/1/2015, When advertisements come up it take me to home page please fix that it when I mean fix that I mean now!!!!!!! ,Rated 2 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
152,1,1,4/11/2015," This game is a perfect type of game for when you are board, tired, angry or happy. The only problem is that if someone downloads this game on a PHONE it slows down the phone. I got it on my tablet. Pls fix that little problem. Otherwise, it is an amazing game ",Rated 3 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
153,1,1,4/11/2015," Great app  love the game ,but  My coins are disappearing  ...can u please fix ,besides that the game for me will have five stars ...thanks",Rated 4 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
154,1,0,4/10/2015, Although this is a good game and I enjoy playing it every time you die you have to sit through ads and these ads cause my phone to freeze. Because of this I will be deleting this game as I hate having to restart my phone every time I die! Please fix this issue and I will continue to play the game. ,Rated 2 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
155,0,0,4/5/2015," It's a fun way to waste time but once you get to level 9, the game is pretty much useless. Trying to find all the artifacts is frustrating. One suggestion would be, once you find an artifact, you wont keep repeating it. Ive found the same ring 9 times. I think the designers of this game just got lazy and made it impossible to move on. I use to play this game a lot but now, I'm finding myself thinking about uninstalling. ",Rated 1 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
156,1,0,4/1/2015, I dont understand y the developers are not looking into our complains. I am stuck with st Patrick  coin. I am not getting any daily or weekly chalanges so my objectives are stranded to that point. I am not getting any treasure chests so there also stuck on collectin all relic objective. That way i have no way of clearing the objectives this no need to play the game if i am not goin ahaed ahead  with the objectives jus running with out a goal. Repair the glitches and i will upgrade the stars but for now just ,Rated 2 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
157,0,0,4/8/2015, So when you start playing the game you love it but give it a month you get bored uninstall then a weak later you install it. You see this game does grip the  gamer but once the round is over that grip is lost now personally I would prefer it if I could choose who I want to be without using so much money I mean you get annoyed after awhile and give up so his game can sometimes be stressful 4 stars good game needs more grip ,Rated 5 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
158,0,1,4/4/2015," I've been playing Temple Run 2 since it entered the market & am still enjoying every minute of it. I love, love, love, the Holiday bonuses you offer; the Hearts, Shamrocks, Easter Eggs, all the cool Hats - and the New Pink Bunny Guy who turns Blue in the shade!, not to mention Bruce Lee, who looks festive sporting his Bunny Ears for Easter ... What Fun! ",Rated 3 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
159,0,1,4/3/2015," It's good but as I said about temple run,  it is good but not great.  I get angry when I lose, but the game is still addictive.  I would not rate this a five star,  but it is close to four star.  It could improve and be better. So play it if you want,  but as I said earlier  it is good,  but not great ",Rated 2 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
160,0,1,4/11/2015, Love love love love love love love love love love love love love love love love love love love love love love love love love :) ,Rated 2 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
161,1,0,4/5/2015, Well. I had all the upgrades for the first six and my game reset back to the beginning and I lost all progress. Please fix using a Samsung galaxy s3 this isn't the first time it's happened either,Rated 3 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
162,0,0,4/11/2015," The game eventually got a little annoying with the micro transactions, but honestly it's one of the few titles that do it moderately right. Props for that. ",Rated 5 stars out of five stars,https://play.google.com/store/apps/details?id=com.imangi.templerun2
